属性,类别,均值,趋势std,噪声std,SNR,ACF_lag16,LSTM_MAE,TFM_MAE,NRMSE_LSTM%,NRMSE_TFM%,TFM提升%,可用性
Magnitude,合成幅值,0.862,0.132,0.083,1.601,0.81,0.0349,0.0182,26.41,13.75,48.0,A 可直接上线
aRMSX,加速度RMS,0.516,0.082,0.049,1.687,0.813,0.0226,0.0111,27.49,13.53,50.8,A 可直接上线
aRMSY,加速度RMS,0.666,0.101,0.073,1.396,0.811,0.026,0.0153,25.61,15.11,41.0,B 可用/建议复核
aRMSZ,加速度RMS,0.171,0.025,0.016,1.553,0.81,0.0058,0.0043,23.25,17.0,26.9,A 可直接上线
vRMSX,速度RMS,2.997,0.502,0.318,1.579,0.825,0.1351,0.0659,26.91,13.12,51.2,A 可直接上线
vRMSY,速度RMS,1.919,0.293,0.173,1.696,0.813,0.1164,0.0451,39.73,15.41,61.2,A 可直接上线
vRMSZ,速度RMS,0.675,0.098,0.063,1.56,0.81,0.0368,0.0145,37.37,14.77,60.5,A 可直接上线
vRMSM,速度RMS,3.632,0.585,0.343,1.706,0.82,0.1312,0.0766,22.45,13.1,41.7,A 可直接上线
ShockX,冲击类,822.363,114.821,482.235,0.238,0.521,51.1869,55.6088,44.58,48.43,-8.6,C 不建议直接用
ShockY,冲击类,65.451,34.182,102.492,0.334,0.666,12.3926,11.522,36.26,33.71,7.0,B 可用/建议复核
ShockZ,冲击类,-226.282,14.878,57.596,0.258,0.559,7.1433,5.3776,48.01,36.14,24.7,C 不建议直接用
