,Magnitude,ShockX,ShockY,ShockZ,aRMSX,aRMSY,aRMSZ,vRMSM,vRMSX,vRMSY,vRMSZ
Magnitude,1.0,-0.08740126340166939,-0.08999820190203006,0.05075017008977618,0.9570794144704604,0.9845543647311905,0.9781601293303944,0.9099351985184109,0.8585232483093835,0.9738966716530846,0.8814940218435502
ShockX,-0.08740126340166939,1.0,0.38139488833910545,-0.6474038657353861,-0.08796359386152636,-0.0835253100869687,-0.08428424909495108,-0.08710666409752746,-0.08365154389735976,-0.0887661838333201,-0.08737157705181599
ShockY,-0.08999820190203006,0.38139488833910545,1.0,-0.5694251178623316,-0.07912965537084726,-0.09271983523825894,-0.08686082829387834,-0.07688548961187418,-0.0685547520117496,-0.09200040537828055,-0.08589787921989302
ShockZ,0.05075017008977618,-0.6474038657353861,-0.5694251178623316,1.0,0.05247563260264105,0.0476988744211453,0.04637413964772794,0.05066699762167455,0.04843310752800052,0.0525592078153335,0.048868202838374945
aRMSX,0.9570794144704604,-0.08796359386152636,-0.07912965537084726,0.05247563260264105,1.0,0.8919080042298622,0.93597016646206,0.964408096115159,0.9411306539227473,0.9490620844121157,0.922557321466901
aRMSY,0.9845543647311905,-0.0835253100869687,-0.09271983523825894,0.0476988744211453,0.8919080042298622,1.0,0.9606796056986843,0.8392708489451605,0.7731304356546915,0.9485071113487499,0.8190156143516548
aRMSZ,0.9781601293303944,-0.08428424909495108,-0.08686082829387834,0.04637413964772794,0.93597016646206,0.9606796056986843,1.0,0.889817263819486,0.8366452104817295,0.9580106677288407,0.8845114973851299
vRMSM,0.9099351985184109,-0.08710666409752746,-0.07688548961187418,0.05066699762167455,0.964408096115159,0.8392708489451605,0.889817263819486,1.0,0.9917704801054165,0.940981726268231,0.9557750708297835
vRMSX,0.8585232483093835,-0.08365154389735976,-0.0685547520117496,0.04843310752800052,0.9411306539227473,0.7731304356546915,0.8366452104817295,0.9917704801054165,1.0,0.8902972418179609,0.936726790095248
vRMSY,0.9738966716530846,-0.0887661838333201,-0.09200040537828055,0.0525592078153335,0.9490620844121157,0.9485071113487499,0.9580106677288407,0.940981726268231,0.8902972418179609,1.0,0.9195621217734465
vRMSZ,0.8814940218435502,-0.08737157705181599,-0.08589787921989302,0.048868202838374945,0.922557321466901,0.8190156143516548,0.8845114973851299,0.9557750708297835,0.936726790095248,0.9195621217734465,1.0
