属性,描述,均值,标准差,最小,最大,变异系数,绝对值均值
Magnitude,振动合成幅值,0.8622610439805821,0.1575452751150911,0.0229701445,1.094951515,0.18271180871755488,0.8622610439805821
ShockX,X轴冲击,822.3632028592687,494.8611610028685,-1360.0,1630.0,0.6017549901086133,897.4016807504252
ShockY,Y轴冲击,65.45079586522108,108.35416455202628,-580.0,520.0,1.6555056835901283,99.03168447066327
ShockZ,Z轴冲击,-226.28161006590136,59.493728759863636,-470.0,837.5,0.2629189740265415,226.84801631590136
aRMSX,X轴加速度均方根,0.5162797718699629,0.09651497083628258,0.011579353666666667,0.688265752,0.18694315738879844,0.5162797718699629
aRMSY,Y轴加速度均方根,0.6660283127461981,0.12583493902809428,0.014897801666666667,0.917149734,0.18893331774487582,0.6660283127461981
aRMSZ,Z轴加速度均方根,0.1708124289108975,0.030172553751929846,0.011713165333333332,0.22380681,0.17664144095174478,0.1708124289108975
vRMSM,合成速度均方根,3.6320776083441557,0.6843507394899089,0.11074016833333333,5.156119346,0.18841853426515356,3.6320776083441557
vRMSX,X轴速度均方根,2.997456805045368,0.5998772852279066,0.057496990666666664,4.606422424,0.20012875048542975,2.997456805045368
vRMSY,Y轴速度均方根,1.9186727042181262,0.34343592083204866,0.05891538925,2.329917684666667,0.17899661568021566,1.9186727042181262
vRMSZ,Z轴速度均方根,0.6751501309235325,0.1180895462577511,0.048800866,0.951274013,0.1749085731810624,0.6751501309235325
